Artist,years
santana,38
cher,34
the isley brothers,32
aretha franklin,31
michael jackson,30
elton john,26
aerosmith,25
aaron neville,24
madonna,24
mariah carey,23
the beach boys,23
eric clapton,23
rod stewart,22
james brown,21
stevie wonder,20
chicago,20
bon jovi,20
herb alpert,19
tim mcgraw,19
the rolling stones,19
marvin gaye,18
usher,18
the four seasons,18
dr dre,18
donny osmond,18
bette midler,18
the kinks,18
queen,17
alice cooper,17
george harrison,17
dionne warwick,17
meat loaf,16
mary j blige,16
van halen,16
journey,16
styx,16
bruce springsteen,16
neil diamond,16
sting,15
billy joel,15
kenny chesney,15
diana ross,15
paul mccartney,15
enrique iglesias,15
sergio mendes,15
red hot chili peppers,15
whitney houston,15
the pretenders,15
janet jackson,14
kiss,14
kylie minogue,14
tom petty and the heartbreakers,14
eminem,14
john lennon,14
u2,14
prince,14
ll cool j,13
kelly clarkson,13
r kelly,13
kool  the gang,13
pink,13
olivia newtonjohn,13
heart,13
peaches  herb,13
donna summer,13
bryan adams,12
toby keith,12
train,12
britney spears,12
bone thugsnharmony,12
blake shelton,12
elvis presley,12
natalie cole,12
jennifer lopez,12
rick springfield,12
yes,12
the pointer sisters,12
eric carmen,12
alicia keys,12
genesis,12
shakira,12
joe tex,12
jermaine jackson,12
johnny rivers,12
new edition,12
justin timberlake,12
beyonce,12
jayz,11
coldplay,11
the beatles,11
foreigner,11
fleetwood mac,11
frankie valli,11
jackson browne,11
eddie money,11
the miracles,11
dierks bentley,11
celine dion,11
ray j,11
phil collins,11